"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","id","Day"
2008,10,1,3,1409,1410,1626,1623,"XE",2479,"N13994",137,133,119,3,-1,"IAH","DSM",802,2,16,0,"",0,NA,NA,NA,NA,NA,123810996,"Wednesday"
2008,10,1,3,2031,2025,2248,2237,"XE",2568,"N14905",137,132,120,11,6,"IAH","DSM",802,3,14,0,"",0,NA,NA,NA,NA,NA,123811053,"Wednesday"
2008,10,1,3,903,900,1110,1124,"XE",2584,"N13913",127,144,108,-14,3,"DSM","IAH",802,10,9,0,"",0,NA,NA,NA,NA,NA,123811066,"Wednesday"
2008,10,1,3,1650,1650,1903,1910,"XE",2671,"N13994",133,140,109,-7,0,"DSM","IAH",802,13,11,0,"",0,NA,NA,NA,NA,NA,123811133,"Wednesday"
2008,10,1,3,900,820,1015,932,"YV",7210,"N77331",75,72,51,43,40,"DSM","ORD",299,8,16,0,"",0,0,0,3,0,40,123811599,"Wednesday"
2008,10,1,3,1732,1644,1841,1756,"YV",7242,"N519LR",69,72,55,45,48,"DSM","ORD",299,7,7,0,"",0,0,0,0,0,45,123811600,"Wednesday"
2008,10,1,3,810,812,908,921,"YV",2748,"N7264V",178,189,158,-13,-2,"DSM","PHX",1149,10,10,0,"",0,NA,NA,NA,NA,NA,123811601,"Wednesday"
2008,10,1,3,1448,1450,1543,1552,"YV",2968,"N77286",175,182,153,-9,-2,"DSM","PHX",1149,10,12,0,"",0,NA,NA,NA,NA,NA,123811602,"Wednesday"
2008,10,1,3,740,642,843,752,"YV",7210,"N77331",63,70,51,51,58,"ORD","DSM",299,5,7,0,"",0,51,0,0,0,0,123811882,"Wednesday"
2008,10,1,3,1608,1457,1709,1610,"YV",7242,"N519LR",61,73,46,59,71,"ORD","DSM",299,3,12,0,"",0,59,0,0,0,0,123811883,"Wednesday"
2008,10,1,3,904,904,1406,1405,"YV",2816,"N77286",182,181,146,1,0,"PHX","DSM",1149,4,32,0,"",0,NA,NA,NA,NA,NA,123811951,"Wednesday"
2008,10,1,3,2115,1845,205,2336,"YV",2818,"N17275",170,171,149,149,150,"PHX","DSM",1149,6,15,0,"",0,149,0,0,0,0,123811952,"Wednesday"
2008,10,1,3,910,915,1000,1003,"OH",6583,"N958CA",110,108,87,-3,-5,"CVG","DSM",505,5,18,0,"",0,NA,NA,NA,NA,NA,123832959,"Wednesday"
2008,10,1,3,1124,1135,1356,1413,"OH",6610,"N958CA",92,98,81,-17,-11,"DSM","CVG",505,2,9,0,"",0,NA,NA,NA,NA,NA,123832982,"Wednesday"
2008,10,1,3,917,925,1019,1035,"OO",2559,"N403SW",62,70,47,-16,-8,"MKE","DSM",311,3,12,0,"",0,NA,NA,NA,NA,NA,123846454,"Wednesday"
2008,10,1,3,1041,1100,1144,1205,"OO",2752,"N403SW",63,65,50,-21,-19,"DSM","MKE",311,6,7,0,"",0,NA,NA,NA,NA,NA,123847581,"Wednesday"
2008,10,1,3,1417,1420,1530,1530,"OO",2753,"N407SW",73,70,55,0,-3,"MKE","DSM",311,4,14,0,"",0,NA,NA,NA,NA,NA,123847653,"Wednesday"
2008,10,1,3,1611,1620,1712,1725,"OO",2814,"N407SW",61,65,51,-13,-9,"DSM","MKE",311,4,6,0,"",0,NA,NA,NA,NA,NA,123848047,"Wednesday"
