"Magnitude","Location","Latitude","Longitude","Depth..km.","EventId","Event.URL","Date","Time","Day","Country"
1.04,"62km E of Beatty",36.9907,-116.06,7,"nn00390323","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390323","2012-10-05","17:41","Fri","Nevada"
0.9,"6km W of Cobb",38.8228,-122.802,4,"nc71852790","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852790","2012-10-05","17:36","Fri","California"
1.7,"2km ESE of El Cerrito",33.8358,-117.4957,0.3,"ci15225273","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225273","2012-10-05","17:32","Fri","California"
1.9,"13km ENE of Red Bluff",40.2385,-122.0952,17.6,"nc71852785","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852785","2012-10-05","17:27","Fri","California"
2.3,"34km SSE of Fort Irwin",34.9928,-116.505,1.6,"ci15225265","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225265","2012-10-05","17:21","Fri","California"
3,"76km NNE of Road Town",19.0473,-64.3152,63,"pr12279020","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279020","2012-10-05","17:12","Fri","British Virgin Islands"
2.9,"92km N of Road Town",19.2329,-64.4505,24,"pr12279019","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279019","2012-10-05","17:11","Fri","British Virgin Islands"
2.5,"5km S of Volcano",19.3785,-155.2385,3.9,"hv60408631","http://earthquake.usgs.gov/earthquakes/eventpage/hv60408631","2012-10-05","17:5","Fri","Hawaii"
2.3,"27km NE of Moscow",46.8965,-116.7343,0.8,"uw60472836","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472836","2012-10-05","17:5","Fri","Idaho"
2,"23km WNW of Fishhook",61.8569,-149.6163,29.5,"ak10572602","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572602","2012-10-05","16:39","Fri","Alaska"
2.4,"34km SSE of Sterling",60.2312,-150.6347,64.6,"ak10572593","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572593","2012-10-05","16:23","Fri","Alaska"
0.5,"8km WSW of Cobb",38.79,-122.807,4.7,"nc71852750","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852750","2012-10-05","15:56","Fri","California"
0.5,"6km W of Cobb",38.8255,-122.8033,3.5,"nc71852745","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852745","2012-10-05","15:55","Fri","California"
0.8,"6km SSW of Cobb",38.7623,-122.7422,3.2,"nc71852730","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852730","2012-10-05","15:44","Fri","California"
0.8,"7km W of Cobb",38.8307,-122.811,1.3,"nc71852725","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852725","2012-10-05","15:42","Fri","California"
1.6,"21km ENE of Sutton-Alpine",61.8535,-148.4533,15.8,"ak10572572","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572572","2012-10-05","15:26","Fri","Alaska"
2.3,"7km S of Cobb",38.7565,-122.7378,1.3,"nc71852715","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852715","2012-10-05","15:22","Fri","California"
2.2,"7km S of Cobb",38.7585,-122.727,2.9,"nc71852710","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852710","2012-10-05","15:6","Fri","California"
1.8,"60km S of Deltana",63.3264,-145.1979,4.7,"ak10572559","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572559","2012-10-05","14:53","Fri","Alaska"
-0.1,"21km NW of West Yellowstone",44.81,-111.2803,9.9,"uu60000467","http://earthquake.usgs.gov/earthquakes/eventpage/uu60000467","2012-10-05","14:42","Fri","Montana"
0.6,"7km WNW of Cobb",38.8377,-122.8085,0,"nc71852690","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852690","2012-10-05","14:14","Fri","California"
3.3,"85km NNE of Road Town",19.1292,-64.2949,58,"pr12279018","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279018","2012-10-05","13:58","Fri","British Virgin Islands"
2.9,"65km NE of Road Town",18.7775,-64.1283,69,"pr12279017","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279017","2012-10-05","13:57","Fri","British Virgin Islands"
1.2,"7km W of Cobb",38.8303,-122.8078,0.9,"nc71852675","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852675","2012-10-05","13:43","Fri","California"
1.6,"7km W of Cobb",38.8297,-122.8083,0.9,"nc71852670","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852670","2012-10-05","13:41","Fri","California"
1.3,"118km W of Cantwell",63.4404,-151.3289,11.1,"ak10572549","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572549","2012-10-05","13:37","Fri","Alaska"
3.3,"138km N of Road Town",19.6492,-64.3965,8,"pr12279014","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279014","2012-10-05","13:32","Fri","British Virgin Islands"
